date,maturity,rfr_no_va,rfr_with_va,va_bps,quality,source
2023-01-31,1,0.03261,0.03431,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,2,0.03191,0.03361,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,3,0.03008,0.03178,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,4,0.02895,0.03065,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,5,0.02829,0.02999,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,6,0.02790,0.02960,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,7,0.02767,0.02937,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,8,0.02759,0.02929,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,9,0.02760,0.02930,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,10,0.02764,0.02934,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,11,0.02759,0.02929,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,12,0.02775,0.02945,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,13,0.02781,0.02951,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,14,0.02769,0.02939,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,15,0.02742,0.02912,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,16,0.02703,0.02873,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,17,0.02658,0.02828,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,18,0.02615,0.02785,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,19,0.02577,0.02747,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2023-01-31,20,0.02549,0.02719,17,verified,EIOPA_RFR_20230131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,1,0.03355,0.03555,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,2,0.02761,0.02961,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,3,0.02538,0.02738,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,4,0.02443,0.02643,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,5,0.02406,0.02606,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,6,0.02402,0.02602,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,7,0.02411,0.02611,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,8,0.02427,0.02627,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,9,0.02447,0.02647,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,10,0.02472,0.02672,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,11,0.02515,0.02715,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,12,0.02521,0.02721,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,13,0.02531,0.02731,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,14,0.02547,0.02747,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,15,0.02556,0.02756,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,16,0.02551,0.02751,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,17,0.02537,0.02737,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,18,0.02519,0.02719,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,19,0.02503,0.02703,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2024-01-31,20,0.02492,0.02692,20,verified,EIOPA_RFR_20240131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,1,0.02293,0.02493,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,2,0.02163,0.02363,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,3,0.02173,0.02373,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,4,0.02183,0.02383,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,5,0.02202,0.02402,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,6,0.02228,0.02428,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,7,0.02246,0.02446,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,8,0.02269,0.02469,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,9,0.02292,0.02492,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,10,0.02333,0.02533,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,11,0.02335,0.02535,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,12,0.02353,0.02553,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,13,0.02369,0.02569,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,14,0.02390,0.02590,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,15,0.02402,0.02602,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,16,0.02394,0.02594,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,17,0.02375,0.02575,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,18,0.02355,0.02555,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,19,0.02341,0.02541,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2025-01-31,20,0.02338,0.02538,20,verified,EIOPA_RFR_20250131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,1,0.02073,0.02193,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,2,0.02128,0.02248,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,3,0.02226,0.02346,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,4,0.02329,0.02449,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,5,0.02418,0.02538,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,6,0.02504,0.02624,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,7,0.02586,0.02706,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,8,0.02661,0.02781,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,9,0.02733,0.02853,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,10,0.02798,0.02918,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,11,0.02860,0.02980,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,12,0.02916,0.03036,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,13,0.02965,0.03085,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
2026-01-31,14,0.03007,0.03127,12,verified,EIOPA_RFR_20260131_Term_Structures.xlsx (doclib 01a0c505)
